Primary Key_x,Order No,Segment Number_x,Coverage,Qty,Part Manufacturer,Part Number,Part Description,Revenue,Cost,Invoice Date,Actual Hours,Segment Total $,Primary Key_y,Segment Number_y,Order Date,Manufacturer,Model,Product Category,Model Year,Serial Number,Meter 1 Reading,Complaint,Cause,Correction,Failure Condition - Failure Component,Fix Condition - Fix Component
SO0005588-1,SO0005588,1,mike 102-305-1811,37,PASE,042094R9-Q     PASE,NO.1-15W40 CJ4QT,127.2799,96.1999,44698,6.3798,1048.3596$,SO0005588-1,1,2022-04-30,PASEIH,6780,APPL,0,YFT042399,2531.0999,"No cab heat, temp gauge dont get to operating temp.",,"Als ich das Gerät in die Werkstatt fuhr, stieg die Temperaturanzeige deutlich über 200 Grad. Es wurde festgestellt, dass das Gerät extrem wenig Frostschutzmittel hatte, ich habe 6 Gallonen hinzugefügt, um den richtigen Stand zu erreichen. Überprüfen Sie das Motoröl, um festzustellen, ob Frostschutzmittel austritt. Gefunden t","No Heat - Cab, Not Achieving - Gauge",No Component Mentioned - Added
SO0005907-1,SO0005907,1,mike 102-305-1811,1,PASE,25505353     PASE,FLUID,30.0,22.68,44698,6.3798,1048.3596$,SO0005907-1,1,2022-04-30,PASEIH,6780,APPL,0,YFT042399,2531.0999,"No cab heat, temp gauge dont get to operating temp.",,"Als ich das Gerät in die Werkstatt fuhr, stieg die Temperaturanzeige deutlich über 200 Grad. Es wurde festgestellt, dass das Gerät extrem wenig Frostschutzmittel hatte, ich habe 6 Gallonen hinzugefügt, um den richtigen Stand zu erreichen. Überprüfen Sie das Motoröl, um festzustellen, ob Frostschutzmittel austritt. Gefunden t","No Heat - Cab, Not Achieving - Gauge",No Component Mentioned - Added
SO0006100-1,SO0006100,1,mike 102-305-1811,3,PASE,25500540     PASE,ACTIFUL OT PREMIX,126.0,78.3,44698,6.3798,1048.3596$,SO0006100-1,1,2022-04-30,PASEIH,6780,APPL,0,YFT042399,2531.0999,"No cab heat, temp gauge dont get to operating temp.",,"Als ich das Gerät in die Werkstatt fuhr, stieg die Temperaturanzeige deutlich über 200 Grad. Es wurde festgestellt, dass das Gerät extrem wenig Frostschutzmittel hatte, ich habe 6 Gallonen hinzugefügt, um den richtigen Stand zu erreichen. Überprüfen Sie das Motoröl, um festzustellen, ob Frostschutzmittel austritt. Gefunden t",Not Charging - Alternator,No Component Mentioned - No Component Mentioned
SO0006642-1,SO0006642,1,mike 102-305-1811,1,PASE,30171372     PASE,FILTER  ENGINE OIL,157.5,99.79,44698,6.3798,1048.3596$,SO0006642-1,1,2022-04-30,PASEIH,6780,APPL,0,YFT042399,2531.0999,"No cab heat, temp gauge dont get to operating temp.",,"Als ich das Gerät in die Werkstatt fuhr, stieg die Temperaturanzeige deutlich über 200 Grad. Es wurde festgestellt, dass das Gerät extrem wenig Frostschutzmittel hatte, ich habe 6 Gallonen hinzugefügt, um den richtigen Stand zu erreichen. Überprüfen Sie das Motoröl, um festzustellen, ob Frostschutzmittel austritt. Gefunden t",Faulty - Fan,"Tensioner - Removed, Crankshaft Pulley - Cleaned"
SO0018457-1,SO0018457,1,mike 102-305-1811,1,PASE,MCC54101     PASE,LOCTITE,7.5499,5.5099,44698,6.3798,1048.3596$,SO0018457-1,1,2022-04-30,PASEIH,6780,APPL,0,YFT042399,2531.0999,"No cab heat, temp gauge dont get to operating temp.",,"Als ich das Gerät in die Werkstatt fuhr, stieg die Temperaturanzeige deutlich über 200 Grad. Es wurde festgestellt, dass das Gerät extrem wenig Frostschutzmittel hatte, ich habe 6 Gallonen hinzugefügt, um den richtigen Stand zu erreichen. Überprüfen Sie das Motoröl, um festzustellen, ob Frostschutzmittel austritt. Gefunden t",Oil Loss - Not Mentioned,No Component Mentioned - No Component Mentioned
SO0018457-1,SO0018457,1,mike 102-305-1811,1,PASE,MCC54101     PASE,LOCTITE,7.5499,5.5099,44698,6.3798,1048.3596$,SO0018457-2,2,2022-05-09,PASEIH,6780,APPL,0,YFT042399,2579.1999,Alternator not charging.,,"Anschlüsse zur Lichtmaschine gereinigt. Überprüfen Sie, ob das Chassis gut geerdet ist. Spannung am Erregerkabel überprüft. Wenn man die serienmäßige Verkabelung mit einem Satz Überbrückungskabeln umging und die Lichtmaschine manuell erregte, ließ sie sich immer noch nicht laden","Unavailable - Suspension, Unavailable - Axle","Fuse - Replaced, VT - Cleared Fault, VT - Reinitiated"
SO0018457-2,SO0018457,2,Mark 102-970-7135,-1,PASE,30020510C     PASE,REMAN-ALTERNATOR - CORE,-40.0,-40.0,44693,3.68,1034.17$,SO0018457-1,1,2022-04-30,PASEIH,6780,APPL,0,YFT042399,2531.0999,"No cab heat, temp gauge dont get to operating temp.",,"Als ich das Gerät in die Werkstatt fuhr, stieg die Temperaturanzeige deutlich über 200 Grad. Es wurde festgestellt, dass das Gerät extrem wenig Frostschutzmittel hatte, ich habe 6 Gallonen hinzugefügt, um den richtigen Stand zu erreichen. Überprüfen Sie das Motoröl, um festzustellen, ob Frostschutzmittel austritt. Gefunden t",Oil Loss - Not Mentioned,No Component Mentioned - No Component Mentioned
SO0018457-2,SO0018457,2,Mark 102-970-7135,-1,PASE,30020510C     PASE,REMAN-ALTERNATOR - CORE,-40.0,-40.0,44693,3.68,1034.17$,SO0018457-2,2,2022-05-09,PASEIH,6780,APPL,0,YFT042399,2579.1999,Alternator not charging.,,"Anschlüsse zur Lichtmaschine gereinigt. Überprüfen Sie, ob das Chassis gut geerdet ist. Spannung am Erregerkabel überprüft. Wenn man die serienmäßige Verkabelung mit einem Satz Überbrückungskabeln umging und die Lichtmaschine manuell erregte, ließ sie sich immer noch nicht laden","Unavailable - Suspension, Unavailable - Axle","Fuse - Replaced, VT - Cleared Fault, VT - Reinitiated"
SO0018457-2,SO0018457,2,Mark 102-970-7135,-1,PASE,30989845     PASE,REMAN-ALTERNATOR - CORE,-40.0,-40.0,44693,3.68,1034.17$,SO0018457-1,1,2022-04-30,PASEIH,6780,APPL,0,YFT042399,2531.0999,"No cab heat, temp gauge dont get to operating temp.",,"Als ich das Gerät in die Werkstatt fuhr, stieg die Temperaturanzeige deutlich über 200 Grad. Es wurde festgestellt, dass das Gerät extrem wenig Frostschutzmittel hatte, ich habe 6 Gallonen hinzugefügt, um den richtigen Stand zu erreichen. Überprüfen Sie das Motoröl, um festzustellen, ob Frostschutzmittel austritt. Gefunden t",Oil Loss - Not Mentioned,No Component Mentioned - No Component Mentioned
SO0018457-2,SO0018457,2,Mark 102-970-7135,-1,PASE,30989845     PASE,REMAN-ALTERNATOR - CORE,-40.0,-40.0,44693,3.68,1034.17$,SO0018457-2,2,2022-05-09,PASEIH,6780,APPL,0,YFT042399,2579.1999,Alternator not charging.,,"Anschlüsse zur Lichtmaschine gereinigt. Überprüfen Sie, ob das Chassis gut geerdet ist. Spannung am Erregerkabel überprüft. Wenn man die serienmäßige Verkabelung mit einem Satz Überbrückungskabeln umging und die Lichtmaschine manuell erregte, ließ sie sich immer noch nicht laden","Unavailable - Suspension, Unavailable - Axle","Fuse - Replaced, VT - Cleared Fault, VT - Reinitiated"
SO0018596-10,SO0018596,10,Mark 102-970-7135,6,PASE,30527348     PASE,ACTIFUL OT PREMIX,264.0,168.8199,44764,60.06960000000001,47856.9793$,SO0018596-10,10,2022-05-25,PASEIH,6780,APPL,0,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,,"Begonnen habe ich mit dem Abziehen der Motorhaube, dem Abtrennen der Halterungen des Luftfiltergehäuses und aller daran befestigten Zubehörteile. DAS GEHÄUSE ENTFERNT UND MOTORÖL, KÜHLMITTEL UND HYDRAULIKFLÜSSIGKEIT ABGELASSEN. WIEDERGEWONNENES KÄLTEMITTEL. ALLE ANGESCHLOSSENEN LEITUNGEN UND SCHLÄUCHE ENTFERNT",Not Mentioned - No Component Mentioned,"Bolt - Replaced, Thread - Cleaned, No Component Mentioned - Installed, No Component Mentioned - Retightened"
